,Authors,Title,Year,EWE,ContextEWE,Country,SpeciesBinomial_adj,G_SpeciesGrouped,Kingdom,Type,Frequency,SampleSize(N)
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Rhyacornis fuliginosa,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Alcedo atthis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Myophonus caeruleus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Luscinia cyanura,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,null,Plantae,Plantae,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Dendrocitta formosae,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Hypsipetes leucocephalus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Ixos mcclellandii,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Phylloscopus humei,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Megaceryle lugubris,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Eurystomus orientalis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Turdus hortulorum,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Alcedo hercules,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pomatorhinus ruficollis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Megalaima virens,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Erpornis zantholeuca,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Garrulax monileger,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Cuculus sparverioides,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Centropus bengalensis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Megalaima oorti,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Dendrocopos major,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Celeus brachyurus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Picus canus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Blythipicus pyrrhotis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pitta moluccensis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Prinia flaviventris,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Cettia fortipes,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Seicercus castaniceps,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Leiothrix lutea,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Paradoxornis gularis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Luscinia calliope,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Muscicapa dauurica,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Niltava davidi,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Cinclus pallasii,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Lonchura punctulata,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Eophona migratoria,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Emberiza chrysophrys,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Phylloscopus proregulus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Alcippe huet,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Enicurus leschenaulti,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Chloropsis hardwickei,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Anthus hodgsoni,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pericrocotus flammeus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Spizixos semitorques,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Hemixos castanonotus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Enicurus schistaceus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Copsychus saularis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Aegithalos concinnus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Motacilla alba,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,null,Plantae,Plantae,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Yuhina castaniceps,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Centropus sinensis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Emberiza tristrami,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Garrulax pectoralis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pericrocotus divaricatus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Prinia inornata,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Orthotomus sutorius,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Garrulax canorus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Cyanoptila cyanomelana,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Dicaeum ignipectum,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Latoucheornis siemsseni,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Emberiza pusilla,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Zosterops japonicus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Urocissa erythrorhyncha,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Harpactes erythrocephalus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pericrocotus solaris,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pycnonotus sinensis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Motacilla cinerea,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pycnonotus jocosus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Phoenicurus auroreus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Garrulax perspicillatus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Aethopyga christinae,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Emberiza spodocephala,Aves,Animalia,Cold Storms,1,NA
,"Altwegg, Res; Roulin, Alexandre; Kestenholz, Matthias; Jenni, Lukas",Demographic effects of extreme winter weather in the barn owl,2006,Y,Y,Switzerland,Tyto alba,Aves,Animalia,"snow,ice,cold Temperature",1,23010
,"Altwegg, Res; Roulin, Alexandre; Kestenholz, Matthias; Jenni, Lukas",Demographic effects of extreme winter weather in the barn owl,2006,Y,Y,Switzerland,Tyto alba,Aves,Animalia,"snow,ice,cold Temperature",1,23010
,"Kohler, Jack; Aanes, Jack ",Effect of Winter Snow and Ground-Icing on a Svalbard Reindeer Population: Results of a Simple Snowpack Model,2004,Y,N,Norway,Rangifer tarandus,Mammalia,Animalia,Rain on snow,1,360
199,"Piessens, Katrien; Adriaens, Dries; Jacquemyn, Hans; Honnay, Olivier",Synergistic effects of an extreme weather event and habitat fragmentation on a specialised insect herbivore,2009,Y,Y,Belgium,Cupido minimus,Arthropoda,Animalia,Temperature,1,56
199,"Piessens, Katrien; Adriaens, Dries; Jacquemyn, Hans; Honnay, Olivier",Synergistic effects of an extreme weather event and habitat fragmentation on a specialised insect herbivore,2009,Y,Y,Belgium,Cupido minimus,Arthropoda,Animalia,Temperature,1,3129
199,"Piessens, Katrien; Adriaens, Dries; Jacquemyn, Hans; Honnay, Olivier",Synergistic effects of an extreme weather event and habitat fragmentation on a specialised insect herbivore,2009,Y,Y,Belgium,Anthyllis vulnerari,Angiospermae,Plantae,Temperature,1,10
